epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4231.3,0.0833,0.1251,0.83519,0.44301,0.39573,0.41678,0.19656,2.33238,2.90324,4.0576,0.007921,0.007921,0.007921
44,4329.48,0.08384,0.12486,0.83691,0.67718,0.36177,0.43979,0.21138,2.42285,2.20125,4.29586,0.0078715,0.0078715,0.0078715
45,4426.64,0.08412,0.12526,0.83745,0.53033,0.37441,0.42247,0.20183,2.43895,2.7891,4.28297,0.007822,0.007822,0.007822
46,4523.36,0.08209,0.12369,0.83723,0.61781,0.34755,0.43984,0.20992,2.38595,2.47173,4.29546,0.0077725,0.0077725,0.0077725
47,4621.34,0.08032,0.12503,0.83765,0.57826,0.35308,0.41753,0.19321,2.41806,2.63135,4.40928,0.007723,0.007723,0.007723
48,4718.05,0.07985,0.12253,0.83505,0.63474,0.31833,0.40423,0.20098,2.41421,2.58971,4.22817,0.0076735,0.0076735,0.0076735
49,4815.02,0.08019,0.12349,0.8363,0.58688,0.3436,0.39611,0.18765,2.41336,2.70206,4.12269,0.007624,0.007624,0.007624
50,4913.95,0.07928,0.12235,0.83379,0.53442,0.3594,0.40787,0.1967,2.38204,3.10457,4.12952,0.0075745,0.0075745,0.0075745
51,5012.65,0.07747,0.11767,0.83514,0.50396,0.37599,0.42524,0.20525,2.30986,3.02935,3.9135,0.007525,0.007525,0.007525
52,5111.14,0.07914,0.11838,0.83573,0.73477,0.38294,0.48794,0.22901,2.34417,2.12179,3.89019,0.0074755,0.0074755,0.0074755
53,5209.4,0.07761,0.12109,0.83525,0.53602,0.33582,0.39993,0.20156,2.40012,2.87698,4.04796,0.007426,0.007426,0.007426
54,5307.53,0.07752,0.12115,0.83747,0.66699,0.32306,0.4186,0.20427,2.41049,2.49629,4.27662,0.0073765,0.0073765,0.0073765
55,5404.71,0.07571,0.11907,0.83627,0.70721,0.31912,0.42369,0.20695,2.39777,2.53212,4.09001,0.007327,0.007327,0.007327
56,5501.27,0.07716,0.1176,0.83374,0.63625,0.31675,0.40754,0.20398,2.46289,2.54131,4.09179,0.0072775,0.0072775,0.0072775
57,5598.21,0.07448,0.11672,0.8348,0.64315,0.32701,0.40942,0.19993,2.42144,2.69388,3.88774,0.007228,0.007228,0.007228
58,5695.26,0.07374,0.11562,0.83517,0.61102,0.33412,0.42394,0.20835,2.45632,2.6707,4.38908,0.0071785,0.0071785,0.0071785
59,5793.84,0.0752,0.11601,0.83394,0.67069,0.34428,0.43133,0.21169,2.43986,2.45873,4.19292,0.007129,0.007129,0.007129
60,5891.91,0.07636,0.11798,0.83418,0.55631,0.31359,0.39428,0.19442,2.48134,3.07666,4.53693,0.0070795,0.0070795,0.0070795
61,5989.7,0.07511,0.11695,0.83418,0.53942,0.32306,0.41046,0.20712,2.47835,2.74181,4.66142,0.00703,0.00703,0.00703
62,6086.97,0.07292,0.11794,0.8326,0.54352,0.35387,0.42572,0.20808,2.38235,2.76728,4.12311,0.0069805,0.0069805,0.0069805
63,6183.73,0.07282,0.1159,0.83702,0.57706,0.34488,0.42951,0.21049,2.34664,2.99703,4.03923,0.006931,0.006931,0.006931
64,6280.37,0.07248,0.11678,0.83493,0.65853,0.35703,0.43433,0.2106,2.34867,2.67952,4.20834,0.0068815,0.0068815,0.0068815
65,6377.05,0.07338,0.11681,0.8355,0.5318,0.34901,0.41938,0.20549,2.41718,2.81328,4.06779,0.006832,0.006832,0.006832
66,6473.84,0.07104,0.11606,0.83292,0.55324,0.35311,0.43412,0.2069,2.34147,2.91784,4.10576,0.0067825,0.0067825,0.0067825
67,6570.57,0.07281,0.11643,0.83466,0.51855,0.34834,0.41584,0.2001,2.33486,3.0326,4.03224,0.006733,0.006733,0.006733
68,6668.44,0.07254,0.12083,0.83465,0.61139,0.34834,0.43179,0.20574,2.35591,2.6908,4.05979,0.0066835,0.0066835,0.0066835
69,6766.06,0.06926,0.11534,0.83603,0.52804,0.36572,0.42211,0.20732,2.38291,2.82586,4.31705,0.006634,0.006634,0.006634
70,6862.59,0.07085,0.11541,0.83444,0.60956,0.33175,0.41969,0.20565,2.40741,2.6743,4.40328,0.0065845,0.0065845,0.0065845
71,6959.48,0.0714,0.11801,0.8351,0.62568,0.34856,0.43138,0.21204,2.36018,2.54487,4.19473,0.006535,0.006535,0.006535
72,7056.45,0.07176,0.11551,0.83428,0.66429,0.33965,0.43744,0.21199,2.36878,2.51617,4.08913,0.0064855,0.0064855,0.0064855
73,7153.29,0.0684,0.11385,0.83323,0.61094,0.33366,0.42736,0.21238,2.37697,2.56676,4.0883,0.006436,0.006436,0.006436
74,7249.94,0.06779,0.1103,0.83366,0.66221,0.32543,0.43264,0.21665,2.41125,2.56003,4.17042,0.0063865,0.0063865,0.0063865
75,7346.66,0.0673,0.10858,0.83403,0.63698,0.33096,0.42239,0.21095,2.40001,2.69385,4.14021,0.006337,0.006337,0.006337
76,7443.4,0.06789,0.11378,0.83481,0.65199,0.31122,0.40507,0.20736,2.41851,3.00481,4.40143,0.0062875,0.0062875,0.0062875
77,7540.81,0.06756,0.1091,0.83272,0.58221,0.30806,0.39149,0.20175,2.42638,3.06505,4.50528,0.006238,0.006238,0.006238
78,7639.22,0.06633,0.1098,0.83406,0.62899,0.30727,0.40484,0.2043,2.42499,2.95081,4.44965,0.0061885,0.0061885,0.0061885
79,7737.18,0.06451,0.10547,0.8342,0.63115,0.31675,0.40386,0.20576,2.40876,3.02457,4.41644,0.006139,0.006139,0.006139
80,7833.92,0.0651,0.1085,0.83285,0.58204,0.32119,0.40008,0.20416,2.41272,3.05648,4.38914,0.0060895,0.0060895,0.0060895
81,7930.51,0.06429,0.10836,0.83341,0.5071,0.35268,0.40344,0.20403,2.4336,3.12044,4.16615,0.00604,0.00604,0.00604
82,8027.21,0.06323,0.1067,0.83182,0.54493,0.33175,0.40298,0.20094,2.43443,3.20335,4.18868,0.0059905,0.0059905,0.0059905
83,8123.98,0.0639,0.10581,0.83285,0.53261,0.36335,0.41034,0.20687,2.39191,3.13594,4.11794,0.005941,0.005941,0.005941
84,8221.28,0.06389,0.10796,0.83491,0.54043,0.35668,0.41367,0.2082,2.38437,3.08494,4.11315,0.0058915,0.0058915,0.0058915
85,8317.88,0.06273,0.10466,0.8346,0.55688,0.3436,0.41445,0.20973,2.36504,3.0084,4.13474,0.005842,0.005842,0.005842
86,8414.43,0.06408,0.1074,0.83467,0.54483,0.34518,0.41308,0.21046,2.32793,3.03141,4.16867,0.0057925,0.0057925,0.0057925
87,8513.27,0.06079,0.10486,0.83176,0.64356,0.31438,0.41751,0.2142,2.35158,3.01435,4.2107,0.005743,0.005743,0.005743
88,8611.62,0.06022,0.10667,0.83344,0.6075,0.32148,0.41027,0.2124,2.3967,3.12466,4.37307,0.0056935,0.0056935,0.0056935
89,8709.75,0.06212,0.10567,0.83252,0.48965,0.35545,0.39897,0.20864,2.40328,3.22983,4.45667,0.005644,0.005644,0.005644
90,8811.32,0.06085,0.10647,0.83283,0.48082,0.36177,0.40811,0.21181,2.39098,3.12385,4.49605,0.0055945,0.0055945,0.0055945
91,8911.11,0.0619,0.10616,0.83354,0.63789,0.31675,0.4182,0.21463,2.38547,3.10456,4.52585,0.005545,0.005545,0.005545
92,9009.92,0.06053,0.10416,0.83341,0.63751,0.31754,0.41951,0.21488,2.37326,3.14739,4.55305,0.0054955,0.0054955,0.0054955
93,9108.64,0.05909,0.10198,0.83239,0.64461,0.31596,0.41709,0.21361,2.36949,3.11163,4.58919,0.005446,0.005446,0.005446
94,9207.16,0.05842,0.10273,0.83208,0.60042,0.32859,0.41603,0.2111,2.37217,3.1165,4.59491,0.0053965,0.0053965,0.0053965
95,9305.59,0.05943,0.10545,0.8316,0.5702,0.33638,0.41377,0.20853,2.37766,3.13977,4.55664,0.005347,0.005347,0.005347
96,9404.47,0.05785,0.10301,0.83234,0.59885,0.33017,0.41151,0.20826,2.37483,3.1662,4.52813,0.0052975,0.0052975,0.0052975
97,9503.13,0.05779,0.1002,0.83249,0.59283,0.33017,0.40627,0.20561,2.39203,3.16276,4.59181,0.005248,0.005248,0.005248
98,9601.59,0.05721,0.10103,0.83217,0.59268,0.32464,0.40645,0.20294,2.4073,3.22127,4.60182,0.0051985,0.0051985,0.0051985
99,9700.28,0.05824,0.10043,0.83388,0.57155,0.32385,0.40592,0.20196,2.41233,3.28786,4.62389,0.005149,0.005149,0.005149
100,9798.65,0.05778,0.09995,0.83256,0.54158,0.32938,0.40315,0.20192,2.42473,3.27079,4.67404,0.0050995,0.0050995,0.0050995
101,9896.67,0.05692,0.0981,0.83168,0.50532,0.34676,0.40126,0.20183,2.4266,3.24923,4.64461,0.00505,0.00505,0.00505
102,9994.36,0.05848,0.09885,0.83326,0.5411,0.34088,0.40509,0.2035,2.41776,3.2327,4.59159,0.0050005,0.0050005,0.0050005
