epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.12,0.23438,0.79301,0.87837,0.67417,0.44471,0.4672,0.22552,1.64224,1.57539,2.14207,0.0033301,0.0033301,0.0033301
2,415.883,0.24449,0.36402,0.87035,0.73491,0.51896,0.58028,0.24566,1.82185,1.26967,2.47467,0.00659747,0.00659747,0.00659747
3,603.046,0.26546,0.31341,0.87971,0.62984,0.39258,0.40594,0.1719,2.12173,1.67024,3.40822,0.00979883,0.00979883,0.00979883
4,789.635,0.24817,0.27395,0.87503,0.7064,0.39573,0.44856,0.18254,2.3259,1.86057,3.71025,0.009703,0.009703,0.009703
5,975.822,0.21012,0.24025,0.86382,0.79106,0.44155,0.50025,0.2101,2.21224,1.53548,3.40026,0.009604,0.009604,0.009604
6,1162.46,0.18865,0.21991,0.85714,0.7634,0.41074,0.46819,0.19617,2.3645,1.809,3.75275,0.009505,0.009505,0.009505
7,1348.84,0.17683,0.21013,0.85427,0.76497,0.39077,0.46339,0.18416,2.39942,1.7556,3.62183,0.009406,0.009406,0.009406
8,1535.21,0.1636,0.19377,0.84997,0.76186,0.42654,0.5017,0.21545,2.30289,1.70165,3.73096,0.009307,0.009307,0.009307
9,1721.5,0.15582,0.19276,0.85058,0.85552,0.44434,0.53765,0.23701,2.1217,1.66417,3.28243,0.009208,0.009208,0.009208
10,1908.51,0.14884,0.1874,0.84774,0.73365,0.40686,0.50434,0.221,2.24366,1.88858,3.49007,0.009109,0.009109,0.009109
11,2095.42,0.14135,0.18064,0.84643,0.75944,0.40205,0.48928,0.21197,2.28149,1.73063,3.65654,0.00901,0.00901,0.00901
12,2281.82,0.13853,0.17572,0.84582,0.7276,0.41775,0.48474,0.21155,2.22586,1.84615,3.33484,0.008911,0.008911,0.008911
13,2469.79,0.13414,0.17162,0.84581,0.78103,0.42261,0.49962,0.20686,2.25122,1.88115,3.52852,0.008812,0.008812,0.008812
14,2669.98,0.12895,0.17088,0.84402,0.77794,0.41864,0.51528,0.23213,2.24239,1.80812,3.39929,0.008713,0.008713,0.008713
15,2893.81,0.12417,0.16574,0.84503,0.71989,0.42417,0.51006,0.22552,2.23078,1.73197,3.47924,0.008614,0.008614,0.008614
16,3108.59,0.12155,0.16347,0.84185,0.76125,0.39792,0.47332,0.20939,2.21602,1.92886,3.6122,0.008515,0.008515,0.008515
17,3321.8,0.11807,0.15923,0.84236,0.7074,0.38231,0.46209,0.21068,2.38507,1.95923,3.99021,0.008416,0.008416,0.008416
18,3544.54,0.11533,0.15798,0.84103,0.75857,0.36235,0.45513,0.20775,2.30675,1.92614,3.83511,0.008317,0.008317,0.008317
19,3771.57,0.11283,0.15446,0.83984,0.73497,0.4139,0.47316,0.20278,2.2954,1.80078,3.62067,0.008218,0.008218,0.008218
20,3999.23,0.11176,0.15069,0.84127,0.76521,0.41446,0.51073,0.22628,2.25991,1.79333,3.69947,0.008119,0.008119,0.008119
21,4224.24,0.10636,0.14957,0.83888,0.78496,0.42962,0.53636,0.2485,2.15149,1.78062,3.60021,0.00802,0.00802,0.00802
22,4453.95,0.10493,0.14828,0.83914,0.64902,0.38231,0.43998,0.19936,2.25182,2.02568,3.69478,0.007921,0.007921,0.007921
23,4648.41,0.10076,0.14148,0.83749,0.66486,0.36414,0.46796,0.21498,2.38039,2.17902,3.86287,0.007822,0.007822,0.007822
24,4836.59,0.0989,0.14064,0.83771,0.73721,0.39336,0.47872,0.21866,2.32704,2.00559,3.82063,0.007723,0.007723,0.007723
25,5046.45,0.10046,0.14289,0.8372,0.84096,0.38784,0.48612,0.2155,2.3215,1.96154,3.68973,0.007624,0.007624,0.007624
26,5267.83,0.09693,0.14516,0.84033,0.70561,0.36019,0.45928,0.21118,2.33131,2.04199,3.88439,0.007525,0.007525,0.007525
27,5497.07,0.09346,0.13852,0.83815,0.69542,0.36414,0.43769,0.20465,2.34337,2.26834,3.95767,0.007426,0.007426,0.007426
28,5702.17,0.09254,0.13232,0.83879,0.76436,0.40995,0.52889,0.24767,2.142,1.94824,3.59436,0.007327,0.007327,0.007327
29,5904.59,0.09188,0.13409,0.83695,0.65908,0.36414,0.44265,0.21425,2.4174,2.14862,4.06845,0.007228,0.007228,0.007228
30,6110.29,0.0905,0.13373,0.83727,0.73029,0.36177,0.44499,0.20526,2.34629,2.24782,3.94071,0.007129,0.007129,0.007129
